Timestamp,[SECTION A: Basic Information] 1. What is your age?,2. What is your gender?,[SECTION B: Social Media Usage] 3. Which social media platforms do you use regularly? (Select all that apply),4. How many hours do you spend on social media per day?,[SECTION C: Cyberbullying Experience] 5. Have you personally experienced cyberbullying or online harassment on social media?,6. Have you ever witnessed someone being cyberbullied?,"7. Have you ever posted, shared, or sent a message online that could have hurt or offended someone?","8. If yes, what was the main reason for your action?",9. What type of cyberbullying have you experienced or observed? (Select all that apply),10. On which social media platform did the incident occur?,11. How often have you experienced cyberbullying or online harassment?,[SECTION D: Mental Health Impact] 12. Do you think cyberbullying or online harassment affected your mental health?,13. Which of the following did you experience? (Select all that apply),"14. On a scale of 1–5, how severe was the emotional impact?",15. Did you seek help from anyone? (Select all that apply),"[SECTION E: Cyber Law Awareness and Prevention] 16. If you did not report the incident, what was the main reason?",17. In which area did you experience cyberbullying or online harassment?,18. What action did you take after experiencing cyberbullying or online harassment? (Select all that apply)
13-09-2026 01:16,18–22,Male,"Instagram, WhatsApp, YouTube",3–5 hours,No,Yes,No,Not Applicable,Fake Rumors,WhatsApp,Never,Not at all,None,3,Friends,Not Applicable,Social Media Community,"Blocked the user, Reported the account"
13-09-2026 01:51,23–30,Female,Others,1–3 hours,No,Yes,No,Not Applicable,Fake Rumors,Facebook,Never,Not at all,Anger,2,No,Not Applicable,Family,Blocked the user
13-09-2026 02:47,23–30,Female,Instagram,More than 5 hours,No,No,Yes,Self-defense,Fake Rumors,WhatsApp,Rarely,Moderately,None,3,Family,Not Applicable,School / College,Ignored it
13-09-2026 05:54,23–30,Female,"Instagram, WhatsApp, YouTube",1–3 hours,Yes,No,No,Not Applicable,Stalking,Instagram,Very Often,Moderately,"Stress, Depression, Anger",2,Psychologist,Didn't think it was serious,Social Media Community,Told Friends / Family
13-09-2026 06:02,18–22,Male,"Instagram, WhatsApp, YouTube",1–3 hours,No,Yes,No,Not Applicable,Offensive Comments,Others,Sometimes,Moderately,None,1 (Very Low),No,Not Applicable,Social Media Community,"Blocked the user, Reported the account"
13-09-2026 06:20,18–22,Female,Instagram,1–3 hours,No,Yes,No,Not Applicable,Offensive Comments,Instagram,Never,Slightly,None,3,Friends,Not Applicable,Social Media Community,"Blocked the user, Reported the account"
13-09-2026 08:04,23–30,Male,Instagram,1–3 hours,No,Yes,Yes,Self-defense,Offensive Comments,WhatsApp,Never,Not at all,None,1 (Very Low),No,Not Applicable,Social Media Community,Ignored it
13-09-2026 08:34,18–22,Female,"Instagram, WhatsApp",3–5 hours,Yes,Yes,No,Not Applicable,"Offensive Comments, Hate Speech, Fake Profile",Instagram,Rarely,Slightly,None,5 (Very High),No,Privacy Concerns,School / College,Took No Action
13-09-2026 08:54,31–40,Female,Others,1–3 hours,No,Yes,Yes,I was angry,Offensive Comments,WhatsApp,Never,Not at all,Loss of Confidence,1 (Very Low),No,Not Applicable,Unknown Stranger,"Blocked the user, Reported the account"
13-09-2026 09:38,23–30,Male,Others,1–3 hours,Yes,Yes,No,Not Applicable,Fake Profile,Facebook,Often,Moderately,Anxiety,1 (Very Low),Friends,Didn't know how to report,Friends Circle,Ignored it
13-09-2026 11:03,18–22,Female,"WhatsApp, YouTube",1–3 hours,Yes,No,No,Not Applicable,"Offensive Comments, Hate Speech, Fake Profile",Instagram,Rarely,Slightly,"Stress, Depression",3,"Friends, Psychologist",Didn't know how to report,Family,Blocked the user
